iter	Logloss
0	0.6912754749
1	0.6899293904
2	0.6882800564
3	0.686471923
4	0.6844925687
5	0.6820605313
6	0.6803362316
77	0.67841352198	0.6771323525
9	0.6754611704
10	0.67300505
1111	0.6719943941212	0.6701610886
13	0.6685511228
14	0.6667164076
15	0.6648994708
16	0.6629936487
17	0.6611422996
18	0.6596183601
19	0.6588532613
20	0.6556399164
21	0.6540162135
22	0.6524363188
23	0.6508418042224	0.649416416
25	0.6478564959
26	0.6458046341
27	0.6443066214
28	0.6423826074
29	0.6405677393
30	0.638884449
31	0.6372959505
32	0.6355600777
33	0.6339548256
34	0.6322377695
35	0.6304473936
36	0.6286794903
37	0.6266626464
38	0.6247564873
39	0.6230989522
40	0.6217199823
41	0.619883897
42	0.6183165431
43	0.6169128638
44	0.6154206375
45	0.6134634476
46	0.6118765188
47	0.6103695177
48	0.6087965475
49	0.6069266733
50	0.6052107366
51	0.603811098
52	0.6024469206
53	0.6009368303
54	0.5993303851
55	0.5977648
56	0.5964266062
57	0.5948149861
58	0.5931038024
59	0.5909826679
60	0.5894265408
61	0.5879540921
62	0.5866572713
63	0.5851302162
64	0.5835314148
65	0.5820437012
66	0.5802806761
67	0.5791386304
68	0.5775281528
69	0.5758121427
70	0.5741430681
71	0.5724912793
72	0.5711084424
73	0.5698605655
74	0.5680895049
75	0.5664509882
76	0.5651677	0.577	0.5634778	0.578	0.5619779	0.579	0.5605818132
80	0.5591696791
81	0.5575195546
82	0.5558982856
83	0.5545245936
84	0.5533518488
85	0.5516723537
86	0.5502357274
87	0.5483960418
88	0.5467837569
89	0.5451733738
90	0.5439285097
91	0.542703933
92	0.5413571628
93	0.539976833
94	0.5384899085
95	0.5369673002
96	0.5349909355
97	0.5338820884
98	0.5325922971
99	0.5313946915
100	0.5301863455
101	0.5287396662
102	0.5103	0.5269103	0.5104	0.5257198972
105	0.5246175281
106	0.5234401989
107	0.5221311603
108	0.5206907964
109	0.5192947408
110	0.5180909464
0341725
111	0111	0.520218112	0112	0.51930113	0113	0.5180692732
114	0.516529115	0115	0.5152219571
116	0.51409117	0.5040087775
118	0.5027605889
2
119	0.5030143517
120	0.5019104496
121	0.5007994227
122	0.4993636377
123	0.4982418876
124	0.4969034899
5	0.5016299183
126	0.500446342
127	0.4990433381
128	0.497937365
129	0.4963545023
130	0.4954329002
131	0.4941254199
132	0.4933125207
133	0.4922574771
134	0.4909722113
135	0.4896793393
136	0.48851931
137	0.4873383397
138	0.4859024407
139	0.4846524771
140	0.4834717254
141	0.4820641686
142	0.4806298461
143	0.4793656838
144	0.4780305104
145	0.4768124462
146	0.4757628128
147	0.4745321274
148	0.4736404483
149	0.4723682145
150	0.4710422392
151	0.4698740618
152	0.4691019204
153	0.4679622626
154	0.4668688003
155	0.4658996391
156	0.4647924011
157	0.4636350865
158	0.4626353639
159	0.461364018
160	0.4599947213
161	0.4589180515
162	0.4576082624
163	0.4565501974
164	0.4554060323
165	0.4543604001
166	0.4536101306
167	0.4525161361
168	0.4514663283
169	0.4501521612
170	0.4488050184
171	0.4475573415
172	0.4464382165
173	0.445335298
174	0.4441635131
175	0.4427921097
176	0.4414972993
177	0.4402294888
178	0.4392024697
179	0.4379625178
180	0.4371185805
181	0.4359996048
182	0.4349486788
183	0.4342618112
184	0.4332672973
185	0.4322271677
186	0.4311742792
187	0.4301307901
188	0.4290602971
189	0.4280616774
190	0.4273658129
191	0.4264565982
192	0.4255680417
193	0.4245438812
194	0.4237079349
